id	gap_type	gap_sentence	paragraph_text	confidence	section_type	source
2502.01282	future_work	our findings and discuss future research directions.	various ML models including neural networks [20] and support our findings and discuss future research directions. related calculations can be found in the appendix.	0.947	future_work	rule+model
2502.01282	future_work	In our recent work [32], we proposed	related calculations can be found in the appendix. In our recent work [32], we proposed the approximation of continuous wavelet coefficients using VP	0.602	future_work	model
2502.01282	limitation	In fact, a VP-neural network architecture was con-	the approximation of continuous wavelet coefficients using VP In fact, a VP-neural network architecture was con-	0.855	future_work	model
2502.01282	limitation	they suffer from the usual drawbacks associated with DWT.	quick and guarantee that the transformation can be inverted, z they suffer from the usual drawbacks associated with DWT. Namely, the smoothness and and symmetry properties of the	0.9	limitations	rule+model
2502.01282	limitation	learned wavelets cannot be guaranteed.	where ℑ ( z ) denotes the imaginary part of the complex pa- learned wavelets cannot be guaranteed.	0.9	limitations	rule+model
2502.01282	future_work	In addition, we would like to investigate the since in 0 by definition, the derivative of ψ η is expressed by	would like to find other potential applications of the RGW- case, then the function ψ η ( ξ ) /ξ is continuous at 0 . In addition, we would like to investigate the since in 0 by definition, the derivative of ψ η is expressed by possibility of using RGW wavelets for other tasks as well, such	0.9	future_work	rule
2506.06895	limitation	To address this limitation, we propose parallelism and structured kernel matrices.	frequently occurs in real-world data such as time linear conjugate gradient method, often leveraging hardware To address this limitation, we propose parallelism and structured kernel matrices. leveraging latent Kronecker structure , by express-	0.501	limitations	model
2506.06895	limitation	The main limitation of this class of methods is also scalabil-	which results in a joint covariance The main limitation of this class of methods is also scalabil- ity to higher-dimensional spaces, for which the hierarchical	0.9	limitations	rule+model
2506.06895	limitation	The main limitations of the state- introduce product kernels and Kronecker structure ( Bonilla	The main limitations of the state- introduce product kernels and Kronecker structure ( Bonilla Scalable Gaussian Processes with Latent Kronecker Structure	0.484	limitations	model
2506.06895	future_work	Future work could investigate specialized kernels, multi-	random with ratios of 10 %, 20 %, ..., 50 %. Future work could investigate specialized kernels, multi- model fitting setup are provided in Appendix C .	0.954	limitations	rule+model
2506.06895	limitation	LKGP also requires the least amount of time by a large mar-	Furthermore, if the data does LKGP also requires the least amount of time by a large mar- not even live on a partial grid, it would be possible to gener-	0.573	limitations	model
2506.06895	future_work	This paper presents work whose goal is to advance the field	Product Kernel Interpolation for Scalable Gaussian This paper presents work whose goal is to advance the field In International Conference on Artificial Intel-	0.696	limitations	model
2507.11367	limitation	Despite its pivotal role in the success of deep (reinforcement) learn-	Despite its pivotal role in the success of deep (reinforcement) learn- ing [ 5 , 7 ], BP has known limitations.	0.405	limitations	model
2507.11367	limitation	It is not considered a biologically requires no backward pass or memorization of activations and is	ing [ 5 , 7 ], BP has known limitations. It is not considered a biologically requires no backward pass or memorization of activations and is plausible learning paradigm for the cortex, although some efforts have compatible with classical networks and any RL algorithm.	0.716	limitations	model
2507.11367	limitation	Additionally, backpropagation requires to store all activations, entails the additional possibility of integrating domain or task-specific dis-	been made to model how real neurons might implement it [ 8 – 10 ]. pose two variations of this pairwise distance-based local loss, with Additionally, backpropagation requires to store all activations, entails the additional possibility of integrating domain or task-specific dis-	0.447	limitations	model
2507.11367	limitation	However, there are open questions, due to learning meaningful representations in higher dimensions,	improving their learning behavior. However, there are open questions, due to learning meaningful representations in higher dimensions, potential limitations regarding the scalability and transferability of and not due to the mapping to a higher dimension itself, we also	0.434	limitations	model
2507.11367	future_work	Appendix D) indicate that the proposed approach is able to learn	this approach, and the assumption of a global target. trained agents using frozen random hidden layers. Appendix D) indicate that the proposed approach is able to learn The pairwise distance matrices, which are	0.63	limitations	model
2507.11367	limitation	N × N , may become computationally expensive as N increases,	meaningful transformations into higher dimensions. N × N , may become computationally expensive as N increases, especially with full episode based updates.	0.489	limitations	model
2507.11367	future_work	the target distance matrix for all layers, assuming a global target like ℓ -norm or gram matrix based metrics is a useful future direction.	Global target: For calculating the local losses, we used D as metrics that are suitable for fast computation via matrix operations the target distance matrix for all layers, assuming a global target like ℓ -norm or gram matrix based metrics is a useful future direction. This assumption may be circumvented by, Additionally, for other model architectures, specialized distance or	0.9	limitations	rule+model
2507.11367	limitation	This assumption may be circumvented by, Additionally, for other model architectures, specialized distance or	the target distance matrix for all layers, assuming a global target like ℓ -norm or gram matrix based metrics is a useful future direction. This assumption may be circumvented by, Additionally, for other model architectures, specialized distance or tations can also be incorporated, similar to our proposed guided loss	0.583	limitations	model
2507.11367	future_work	This might help the RL agent to learn more efficiently and robustly.	Grandmaster level in StarCraft II using This might help the RL agent to learn more efficiently and robustly. multi-agent reinforcement learning.	0.723	future_work	model
2507.11367	future_work	promising results and a flexible framework, future research should	Backpropagation and the brain. promising results and a flexible framework, future research should challenge its scalability and transferability, explore different met- [10] Geoffrey Hinton.	0.962	future_work	rule+model
2507.11367	future_work	Evolution Strategies as a Scalable Alternative to Reinforcement Learning.	free training of neural networks in reinforcement learning settings. Evolution Strategies as a Scalable Alternative to Reinforcement Learning. Our method focuses on learning feature transformations by mini-	0.571	future_work	model
2507.11367	future_work	The versatility of the proposed method invites future research into Neural Interfaces using Synthetic Gradients.	Vinyals, Alex Graves, David Silver, and Koray Kavukcuoglu. The versatility of the proposed method invites future research into Neural Interfaces using Synthetic Gradients. In International Conference	0.9	future_work	rule+model
2507.11367	future_work	Additionally, it offers potential for leveraging the	utilizing different distance metrics and non-linear dimensionality re- on Machine Learning , 2017. Additionally, it offers potential for leveraging the [19] Mengye Ren, Simon Kornblith, Renjie Liao, and Geoffrey Hinton.	0.736	future_work	model
2510.25287	limitation	This limitation motivates the following section, where we study PSGD with a learning rate of	effectively implement this learning rate in practice, and is particularly difficult to obtain in the OT This limitation motivates the following section, where we study PSGD with a learning rate of the form γ = γ /t b for b < 1 .	0.9	limitations	rule+model
2510.25287	limitation	suffers from convergence plateaus due to its fixed step	discrete OT (especially in generative modeling), it often suffers from convergence plateaus due to its fixed step In contrast, S-Adam incorporates a decaying learn-	0.9	future_work	rule+model
2510.25287	limitation	Despite lacking theoretical guarantees under 10 4	ing rate and is specifically tailored for strongly convex Despite lacking theoretical guarantees under 10 4 RSC, our empirical results (Figure 2) show that Projected	0.661	future_work	model
2510.25287	future_work	Formalizing these observations and extending our theory	Figure 2: S-Adam outperforms Adam on Formalizing these observations and extending our theory Ex. 1, avoiding convergence plateau.	0.649	future_work	model
2510.25287	future_work	a compelling direction for future research.	to include adaptive methods, while challenging, remains a compelling direction for future research. The work of François-Xavier Vialard is partly supported by the Bézout Labex (New Monge Problems),	0.948	future_work	rule+model
2510.25287	future_work	The work of François-Xavier Vialard is partly supported by the Bézout Labex (New Monge Problems),	a compelling direction for future research. The work of François-Xavier Vialard is partly supported by the Bézout Labex (New Monge Problems), funded by ANR, reference ANR-10-LABX-58.	0.657	future_work	model
